Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
CBC,A recent history of Time's Person of the Year,http://www.cbc.ca/news/interactives/time-person/,12/14/2011,"interactive presentation, slideshow",,,Kerry Wall,international,,,
CBC,Ladybugs: Spotting the difference,http://www.cbc.ca/news/interactives/ladybugs/,7/21/2011,interactive graphic,,,Kerry Wall,international,,,
CBC,A look back at attacks in Scandinavia,http://www.cbc.ca/news/interactives/scandinavian-attack/,7/22/2011,interactive presentation,,,Kerry Wall,international,,,
CBC,Canada Votes 2008 | North America Votes,http://www.cbc.ca/news/canadavotes/interactives/tl-namericavotes/,9/10/2008,,,,Kerry Wall,international,,,
CBC,Canada Votes 2008 | seats up for grabs,http://www.cbc.ca/news/canadavotes/interactives/map-availableseats/,9/9/2008,,,,Kerry Wall,international,,,
CBC,Toronto International Film Festival: A history of opening nights,http://www.cbc.ca/news/interactives/tiff-openers/,8/13/2012,interactive presentation,,,Kerry Wall,international,,,
CBC,Cross-border travel fees,http://www.cbc.ca/news/interactives/travel-fees/,10/26/2011,interactive graphic,,,Kerry Wall,international,,,
CBC,Male-to-female birth ratios by country,http://www.cbc.ca/news/interactives/birth-ratios/,5/22/2012,interactive map,,,Kerry Wall,international,Google Maps,,
CBC,Recent plant closures across Canada,http://www.cbc.ca/news/interactives/plant-closures/,6/1/2012,interactive map,,,Kerry Wall,international,Google Maps,,
CBC,New Buenos Aires filmmakers stretch boundaries,http://www.cbc.ca/news/interactives/argentina/,8/23/2011,interactive map,,,Kerry Wall,international,Google Maps,,
CBC,Mapping the Chungs' $12.5M insider win,http://www.cbc.ca/news/interactives/map-lotto/,11/14/2011,interactive map,,,"Michael Pereira, Kerry Wall",international,Google Maps,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
De Standaard,Deze mannen kiezen straks een nieuwe paus.,http://www.standaard.be/extra/conclaaf,,interactive graphic,,,,international,,,complete copy of an NYTimes interactive
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Der Spiegel,Wetter: Wann in Deutschland der erste Schnee fällt,http://www.spiegel.de/panorama/wetter-wann-faellt-in-deutschland-der-erste-schnee-a-1064475.html,11/25/2015,"interactive graphic, interactive map",,,"Von Manuel Reitz, Patrick Stotz, Achim Tack",international,,,
Der Spiegel,Datenanalyse: Wie Terror und politische Umbrüche den Tourismus beeinflussen,http://www.spiegel.de/reise/aktuell/terror-und-tourismus-die-folgen-politischer-umbrueche-datenanalyse-a-1076229.html,2/19/2016,"interactive graphic, static graphic",,,"Patrick Stotz, Achim Tack",international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Die Welt,Abnicker oder Rebell – Wer ist was im Bundestag?,http://www.welt.de/politik/deutschland/article151296429/Abnicker-oder-Rebell-Wer-ist-was-im-Bundestag.html,1/27/2016,interactive graphic,,,"Von George Arnett, Diego Caponera, Marcel Pauly, Anne Gathmann",international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DIE ZEIT,Jobwunder für alle?,http://www.zeit.de/wirtschaft/arbeitslosigkeit,,,,,,international,,,
DIE ZEIT,Gruppenbild einer alternden Gesellschaft,http://www.zeit.de/wissen/altersstruktur,,,,,,international,,,
DIE ZEIT,Data Blog: Wo wird in Deutschland rechtsextrem gewählt?,http://blog.zeit.de/open-data/2012/11/16/rechtsextreme-parteien-bundestagswahl-zweitstimmen/,,interactive map,,,,international,,,
